TrackId,Song,Artist,Album,Composer,Genre,UnitPrice
1,For Those About To Rock (We Salute You),AC/DC,For Those About To Rock We Salute You,"Angus Young, Malcolm Young, Brian Johnson",Rock,0.99
2,Balls to the Wall,Accept,Balls to the Wall,,Rock,0.99
3,Fast As a Shark,Aerosmith,Restless and Wild,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",Rock,0.99
4,Restless and Wild,Aerosmith,Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",Rock,0.99
5,Princess of the Dawn,Aerosmith,Restless and Wild,Deaffy & R.A. Smith-Diesel,Rock,0.99
6,Put The Finger On You,AC/DC,For Those About To Rock We Salute You,"Angus Young, Malcolm Young, Brian Johnson",Rock,0.99
7,Let's Get It Up,AC/DC,For Those About To Rock We Salute You,"Angus Young, Malcolm Young, Brian Johnson",Rock,0.99
8,Inject The Venom,AC/DC,For Those About To Rock We Salute You,"Angus Young, Malcolm Young, Brian Johnson",Rock,0.99
9,Snowballed,AC/DC,For Those About To Rock We Salute You,"Angus Young, Malcolm Young, Brian Johnson",Rock,0.99
10,Evil Walks,AC/DC,For Those About To Rock We Salute You,"Angus Young, Malcolm Young, Brian Johnson",Rock,0.99
11,C.O.D.,AC/DC,For Those About To Rock We Salute You,"Angus Young, Malcolm Young, Brian Johnson",Rock,0.99
12,Breaking The Rules,AC/DC,For Those About To Rock We Salute You,"Angus Young, Malcolm Young, Brian Johnson",Rock,0.99
13,Night Of The Long Knives,AC/DC,For Those About To Rock We Salute You,"Angus Young, Malcolm Young, Brian Johnson",Rock,0.99
14,Spellbound,AC/DC,For Those About To Rock We Salute You,"Angus Young, Malcolm Young, Brian Johnson",Rock,0.99
15,Go Down,Alanis Morissette,Let There Be Rock,AC/DC,Rock,0.99
16,Dog Eat Dog,Alanis Morissette,Let There Be Rock,AC/DC,Rock,0.99
17,Let There Be Rock,Alanis Morissette,Let There Be Rock,AC/DC,Rock,0.99
18,Bad Boy Boogie,Alanis Morissette,Let There Be Rock,AC/DC,Rock,0.99
19,Problem Child,Alanis Morissette,Let There Be Rock,AC/DC,Rock,0.99
20,Overdose,Alanis Morissette,Let There Be Rock,AC/DC,Rock,0.99
21,Hell Ain't A Bad Place To Be,Alanis Morissette,Let There Be Rock,AC/DC,Rock,0.99
22,Whole Lotta Rosie,Alanis Morissette,Let There Be Rock,AC/DC,Rock,0.99
23,Walk On Water,Alice In Chains,Big Ones,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",Rock,0.99
24,Love In An Elevator,Alice In Chains,Big Ones,"Steven Tyler, Joe Perry",Rock,0.99
25,Rag Doll,Alice In Chains,Big Ones,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",Rock,0.99
26,What It Takes,Alice In Chains,Big Ones,"Steven Tyler, Joe Perry, Desmond Child",Rock,0.99
27,Dude (Looks Like A Lady),Alice In Chains,Big Ones,"Steven Tyler, Joe Perry, Desmond Child",Rock,0.99
28,Janie's Got A Gun,Alice In Chains,Big Ones,"Steven Tyler, Tom Hamilton",Rock,0.99
29,Cryin',Alice In Chains,Big Ones,"Steven Tyler, Joe Perry, Taylor Rhodes",Rock,0.99
30,Amazing,Alice In Chains,Big Ones,"Steven Tyler, Richie Supa",Rock,0.99
31,Blind Man,Alice In Chains,Big Ones,"Steven Tyler, Joe Perry, Taylor Rhodes",Rock,0.99
32,Deuces Are Wild,Alice In Chains,Big Ones,"Steven Tyler, Jim Vallance",Rock,0.99
33,The Other Side,Alice In Chains,Big Ones,"Steven Tyler, Jim Vallance",Rock,0.99
34,Crazy,Alice In Chains,Big Ones,"Steven Tyler, Joe Perry, Desmond Child",Rock,0.99
35,Eat The Rich,Alice In Chains,Big Ones,"Steven Tyler, Joe Perry, Jim Vallance",Rock,0.99
36,Angel,Alice In Chains,Big Ones,"Steven Tyler, Desmond Child",Rock,0.99
37,Livin' On The Edge,Alice In Chains,Big Ones,"Steven Tyler, Joe Perry, Mark Hudson",Rock,0.99
38,All I Really Want,Antônio Carlos Jobim,Jagged Little Pill,Alanis Morissette & Glenn Ballard,Rock,0.99
39,You Oughta Know,Antônio Carlos Jobim,Jagged Little Pill,Alanis Morissette & Glenn Ballard,Rock,0.99
40,Perfect,Antônio Carlos Jobim,Jagged Little Pill,Alanis Morissette & Glenn Ballard,Rock,0.99
41,Hand In My Pocket,Antônio Carlos Jobim,Jagged Little Pill,Alanis Morissette & Glenn Ballard,Rock,0.99
42,Right Through You,Antônio Carlos Jobim,Jagged Little Pill,Alanis Morissette & Glenn Ballard,Rock,0.99
43,Forgiven,Antônio Carlos Jobim,Jagged Little Pill,Alanis Morissette & Glenn Ballard,Rock,0.99
44,You Learn,Antônio Carlos Jobim,Jagged Little Pill,Alanis Morissette & Glenn Ballard,Rock,0.99
45,Head Over Feet,Antônio Carlos Jobim,Jagged Little Pill,Alanis Morissette & Glenn Ballard,Rock,0.99
46,Mary Jane,Antônio Carlos Jobim,Jagged Little Pill,Alanis Morissette & Glenn Ballard,Rock,0.99
47,Ironic,Antônio Carlos Jobim,Jagged Little Pill,Alanis Morissette & Glenn Ballard,Rock,0.99
48,Not The Doctor,Antônio Carlos Jobim,Jagged Little Pill,Alanis Morissette & Glenn Ballard,Rock,0.99
49,Wake Up,Antônio Carlos Jobim,Jagged Little Pill,Alanis Morissette & Glenn Ballard,Rock,0.99
